SME_LOAN_ID_NO,GENDER,MARITAL_STATUS,FAMILY_MEMBERS,QUALIFICATION,EMPLOYMENT,CANDIDATE_INCOME,GUARANTEE_INCOME,LOAN_AMOUNT,LOAN_DURATION,LOAN_HISTORY,LOAN_LOCATION,IncomeGroup,I_LOAN_APPROVAL_STATUS,P_N,P_Y
LP001347,Female,Not Married,0,Graduate,No,2101,1500,108,360,0,Village,1,N,0.9568672316,0.0431327684
LP001348,Male,Married,3,Under Graduate,No,4490,0,125,360,1,City,3,Y,0.2338228591,0.7661771409
LP001351,Male,Married,0,Graduate,No,2917,3583,138,360,1,Town,2,Y,0.1052289044,0.8947710956
LP001352,Male,Married,0,Under Graduate,No,4700,0,135,360,0,Town,3,N,0.8819372026,0.1180627974
LP001358,Male,Married,0,Graduate,No,3445,0,130,360,0,Town,2,N,0.8324420927,0.1675579073
LP001359,Male,Married,0,Graduate,No,7666,0,187,360,1,Town,4,Y,0.0891842736,0.9108157264
LP001361,Male,Married,0,Graduate,No,2458,5105,188,360,0,Village,1,N,0.9525851437,0.0474148563
LP001366,Female,Not Married,0,Graduate,No,3250,0,95,360,1,Town,2,Y,0.1198368098,0.8801631902
LP001368,Male,Not Married,0,Graduate,No,4463,0,65,360,1,Town,3,Y,0.1212808485,0.8787191515
LP001375,Male,Married,1,Graduate,No,4083,1775,139,60,1,City,3,Y,3.5516105E-6,0.9999964484
LP001380,Male,Married,0,Graduate,Yes,3900,2094,232,360,1,Village,3,Y,0.2610996739,0.7389003261
LP001386,Male,Married,0,Under Graduate,No,4750,3583,144,360,1,Town,3,Y,0.1500348396,0.8499651604
LP001400,Male,Not Married,0,Graduate,No,3583,3435,155,360,1,City,2,Y,0.3009666989,0.6990333011
LP001407,Male,Married,0,Graduate,No,3189,2367,186,360,1,City,2,Y,0.2049972356,0.7950027644
LP001413,Male,Not Married,0,Graduate,Yes,6356,0,50,360,1,Village,4,Y,0.2811993833,0.7188006167
LP001415,Male,Married,1,Graduate,No,3413,4053,125,360,1,Town,2,Y,0.1524221047,0.8475778953
LP001419,Female,Married,0,Graduate,No,7950,0,185,360,1,City,4,Y,0.1693408724,0.8306591276
LP001420,Male,Married,3,Graduate,No,3829,1103,163,360,0,City,3,N,0.9247724805,0.0752275195
LP001428,Male,Married,3,Graduate,No,72529,0,360,360,1,City,4,Y,0.1617298909,0.8382701091
LP001445,Male,Married,2,Under Graduate,No,4136,0,149,480,0,Village,3,N,0.9832555436,0.0167444564
LP001446,Male,Married,0,Graduate,No,8449,0,257,360,1,Village,4,Y,0.2247552885,0.7752447115
LP001450,Male,Married,0,Graduate,No,4456,0,131,180,0,Town,3,N,0.7671559609,0.2328440391
LP001452,Male,Married,2,Graduate,No,4635,8000,102,180,1,Village,3,Y,0.1581412598,0.8418587402
LP001455,Male,Married,0,Graduate,No,3571,1917,135,360,1,City,2,Y,0.1894007561,0.8105992439
LP001466,Male,Not Married,0,Graduate,No,3066,0,95,360,1,Town,2,Y,0.1264653662,0.8735346338
LP001471,Male,Not Married,2,Under Graduate,No,3235,2015,77,360,1,Town,2,Y,0.1464437465,0.8535562535
LP001472,Female,Not Married,0,Graduate,No,5058,0,200,360,1,Village,3,Y,0.295868607,0.704131393
LP001475,Male,Married,0,Graduate,Yes,3188,2286,130,360,1,Village,2,Y,0.2384225033,0.7615774967
LP001483,Male,Married,3,Graduate,No,13518,0,390,360,1,Village,4,Y,0.2516377872,0.7483622128
LP001486,Male,Married,1,Graduate,No,4364,2500,185,360,1,Town,3,Y,0.149674102,0.850325898
LP001490,Male,Married,2,Under Graduate,No,4766,1646,100,360,1,Town,3,Y,0.0950973075,0.9049026925
LP001496,Male,Married,1,Graduate,No,4609,2333,123,360,0,Town,3,N,0.8955155654,0.1044844346
LP001499,Female,Married,3,Graduate,No,6260,0,110,360,1,Town,4,Y,0.0770749285,0.9229250715
LP001500,Male,Married,1,Graduate,No,3333,4200,256,360,1,City,2,Y,0.3246739116,0.6753260884
LP001501,Male,Married,0,Graduate,No,3500,3250,140,360,1,Town,2,Y,0.1032479126,0.8967520874
LP001517,Male,Married,3,Graduate,No,9719,0,61,360,1,City,4,Y,0.1533216724,0.8466783276
LP001527,Male,Married,3,Graduate,No,6835,0,188,360,1,Town,4,Y,0.0894168553,0.9105831447
LP001534,Male,Not Married,0,Graduate,No,4452,0,131,360,1,Village,3,Y,0.2898765394,0.7101234606
LP001542,Female,Married,0,Graduate,No,2262,0,125,480,0,Town,1,N,0.9490829781,0.0509170219
LP001547,Male,Married,1,Graduate,No,3901,0,116,360,1,City,3,Y,0.2341169963,0.7658830037
LP001548,Male,Married,2,Under Graduate,No,2687,0,50,180,1,Village,1,Y,0.1391509753,0.8608490247
LP001558,Male,Not Married,0,Graduate,No,2243,2233,107,360,1,Town,1,Y,0.1451934279,0.8548065721
LP001561,Female,Married,0,Graduate,No,3417,1287,200,360,1,Town,2,Y,0.0941924451,0.9058075549
LP001563,Male,Not Married,0,Graduate,No,1596,1760,119,360,0,City,1,N,0.9523791179,0.0476208821
LP001567,Male,Married,3,Graduate,No,4513,0,120,360,1,Village,3,Y,0.1972128969,0.8027871031
LP001568,Male,Married,0,Graduate,No,4500,0,140,360,1,Town,3,Y,0.0855141622,0.9144858378
LP001573,Male,Married,0,Under Graduate,No,4523,1350,165,360,1,City,3,Y,0.2599529765,0.7400470235
LP001584,Female,Not Married,0,Graduate,Yes,4742,0,108,360,1,Town,3,Y,0.129189583,0.870810417
LP001587,Male,Married,0,Graduate,No,4082,0,93,360,1,Town,3,Y,0.080875719,0.919124281
LP001589,Female,Not Married,0,Graduate,No,3417,0,102,360,1,City,2,Y,0.2337007663,0.7662992337
LP001591,Female,Married,2,Graduate,No,2922,3396,122,360,1,Town,2,Y,0.0709176399,0.9290823601
LP001599,Male,Married,0,Graduate,No,4167,4754,160,360,1,Village,3,Y,0.2594414351,0.7405585649
LP001601,Male,Not Married,3,Graduate,No,4243,4123,157,360,1,Town,3,Y,0.1677627037,0.8322372963
LP001607,Female,Not Married,0,Under Graduate,No,0,1760,180,360,1,Town,1,Y,0.2067280431,0.7932719569
LP001611,Male,Married,1,Graduate,No,1516,2900,80,360,0,Village,1,N,0.9584486591,0.0415513409
LP001613,Female,Not Married,0,Graduate,No,1762,2666,104,360,0,City,1,N,0.9512352814,0.0487647186
LP001622,Male,Married,2,Graduate,No,724,3510,213,360,0,Village,1,N,0.9311818209,0.0688181791
LP001627,Male,Not Married,0,Graduate,No,3125,0,65,360,1,City,2,Y,0.2359147231,0.7640852769
LP001650,Male,Married,0,Graduate,No,2333,3803,146,360,1,Village,1,Y,0.2465504242,0.7534495758
LP001651,Male,Married,3,Graduate,No,3350,1560,135,360,1,City,2,Y,0.1857398016,0.8142601984
LP001652,Male,Not Married,0,Graduate,No,2500,6414,187,360,0,Village,1,N,0.9726172411,0.0273827589
LP001655,Female,Not Married,0,Graduate,No,12500,0,300,360,0,City,4,N,0.9530144598,0.0469855402
LP001660,Male,Not Married,0,Graduate,No,4667,0,120,360,1,Town,3,Y,0.1292461055,0.8707538945
LP001662,Male,Not Married,0,Graduate,No,6500,0,71,360,0,City,4,N,0.9424129619,0.0575870381
LP001663,Male,Married,2,Graduate,No,7500,0,225,360,1,City,4,Y,0.1403390898,0.8596609102
LP001667,Male,Not Married,0,Graduate,No,3073,0,70,180,1,City,2,Y,0.1715281459,0.8284718541
LP001695,Male,Married,1,Under Graduate,No,3321,2088,70,360,1,Town,2,Y,0.1818797286,0.8181202714
LP001703,Male,Married,0,Graduate,No,3333,1270,124,360,1,City,2,Y,0.1812747843,0.8187252157
LP001718,Male,Not Married,0,Graduate,No,3391,0,132,360,1,Village,2,Y,0.2913299149,0.7086700851
LP001728,Male,Married,1,Graduate,Yes,3343,1517,105,360,1,Village,2,Y,0.3040311466,0.6959688534
LP001735,Female,Not Married,1,Graduate,No,3620,0,90,360,1,City,2,Y,0.3123364099,0.6876635901
LP001737,Male,Not Married,0,Graduate,No,4000,0,83,84,1,City,3,Y,0.3220836875,0.6779163125
LP001739,Male,Married,0,Graduate,No,4258,0,125,360,1,City,3,Y,0.169305181,0.830694819
LP001742,Male,Married,2,Graduate,No,4500,0,147,360,1,Village,3,Y,0.1540440788,0.8459559212
LP001757,Male,Married,1,Graduate,No,2014,2925,120,360,1,Village,1,Y,0.3122735822,0.6877264178
LP001769,Male,Not Married,0,Graduate,No,3333,1250,110,360,1,Town,2,Y,0.1375320338,0.8624679662
LP001771,Female,Not Married,3,Graduate,No,4083,0,103,360,1,Town,3,Y,0.1201855596,0.8798144404
LP001785,Male,Not Married,0,Graduate,No,4727,0,150,360,0,Village,3,N,0.9572418117,0.0427581883
LP001787,Male,Married,3,Graduate,No,3089,2999,100,240,1,Village,2,Y,0.2745666531,0.7254333469
LP001789,Male,Married,3,Under Graduate,No,6794,528,139,360,0,City,4,N,0.9444294229,0.0555705771
LP001791,Male,Married,0,Graduate,Yes,32000,0,550,360,1,Town,4,Y,0.1311339973,0.8688660027
LP001794,Male,Married,2,Graduate,Yes,10890,0,260,12,1,Village,4,Y,3.8026597E-6,0.9999961973
LP001797,Female,Not Married,0,Graduate,No,12941,0,150,300,1,City,4,Y,0.2584267597,0.7415732403
LP001815,Male,Not Married,0,Under Graduate,No,3276,0,90,360,1,Town,2,Y,0.1776269711,0.8223730289
LP001817,Male,Not Married,0,Under Graduate,Yes,8703,0,199,360,0,Village,4,N,0.9743490711,0.0256509289
LP001818,Male,Married,1,Graduate,No,4742,717,139,360,1,Town,3,Y,0.1287443983,0.8712556017
LP001822,Male,Not Married,0,Graduate,No,5900,0,150,360,1,City,4,Y,0.2542517014,0.7457482986
LP001827,Male,Not Married,0,Graduate,No,3071,4309,180,360,1,City,2,Y,0.3204085908,0.6795914092
LP001831,Male,Married,0,Graduate,No,2783,1456,113,360,1,City,1,Y,0.181244262,0.818755738
LP001842,Male,Not Married,0,Graduate,No,5000,0,148,360,1,Village,3,Y,0.2939830858,0.7060169142
LP001853,Male,Married,1,Under Graduate,No,2463,2360,117,360,0,City,1,N,0.9664112387,0.0335887613
LP001855,Male,Married,2,Graduate,No,4855,0,72,360,1,Village,3,Y,0.1411474416,0.8588525584
LP001857,Male,Not Married,0,Under Graduate,Yes,1599,2474,125,300,1,Town,1,Y,0.2449652768,0.7550347232
LP001862,Male,Married,2,Graduate,Yes,4246,4246,214,360,1,City,3,Y,0.187161459,0.812838541
LP001867,Male,Married,0,Graduate,No,4333,2291,133,350,1,Village,3,,,
LP001878,Male,Not Married,1,Graduate,No,5823,2529,187,360,1,Town,4,Y,0.2225724745,0.7774275255
LP001881,Male,Married,0,Under Graduate,No,7895,0,143,360,1,Village,4,Y,0.2728383639,0.7271616361
LP001886,Male,Not Married,0,Graduate,No,4150,4256,209,360,1,Village,3,Y,0.3718482281,0.6281517719
LP001906,Male,Not Married,0,Graduate,No,2964,0,84,360,0,Town,2,N,0.8842867625,0.1157132375
LP001909,Male,Not Married,0,Graduate,No,5583,0,116,360,1,City,4,Y,0.2460135439,0.7539864561
LP001911,Female,Not Married,0,Graduate,No,2708,0,65,360,1,Village,1,Y,0.262002935,0.737997065
LP001921,Male,Not Married,1,Graduate,No,3180,2370,80,240,1,Village,2,Y,0.4675738762,0.5324261238
LP001923,Male,Not Married,0,Under Graduate,No,2268,0,170,360,0,Town,1,N,0.9282916061,0.0717083939
LP001933,Male,Not Married,2,Under Graduate,No,1141,2017,120,360,0,City,1,N,0.9562587489,0.0437412511
LP001943,Male,Married,0,Graduate,No,3042,3167,135,360,1,City,2,Y,0.2021164009,0.7978835991
LP001950,Female,Married,3,Graduate,No,1750,2935,94,360,0,Town,1,N,0.8433662953,0.1566337047
LP001959,Female,Married,1,Graduate,No,3564,0,79,360,1,Village,2,Y,0.2505521013,0.7494478987
LP001961,Female,Not Married,0,Graduate,No,3958,0,110,360,1,Village,3,Y,0.2725116746,0.7274883254
LP001973,Male,Married,2,Under Graduate,No,4483,0,130,360,1,Village,3,Y,0.2111444025,0.7888555975
LP001975,Male,Married,0,Graduate,No,5225,0,143,360,1,Village,4,Y,0.2020039932,0.7979960068
LP001979,Male,Not Married,0,Graduate,No,3017,2845,159,180,0,City,2,N,0.9371897766,0.0628102234
LP001995,Male,Married,0,Under Graduate,No,2431,1820,110,360,0,Village,1,N,0.9568425474,0.0431574526
LP001999,Male,Married,2,Graduate,No,4912,4614,160,360,1,Village,3,Y,0.1977697399,0.8022302601
LP002007,Male,Married,2,Under Graduate,No,2500,3333,131,360,1,City,1,Y,0.2148406022,0.7851593978
LP002009,Female,Not Married,0,Graduate,No,2918,0,65,360,1,Village,2,Y,0.2617845476,0.7382154524
LP002016,Male,Married,2,Graduate,No,5128,0,143,360,1,Village,4,Y,0.1529077015,0.8470922985
LP002017,Male,Married,3,Graduate,No,15312,0,187,360,1,City,4,Y,0.1722487318,0.8277512682
LP002018,Male,Married,2,Graduate,No,3958,2632,160,360,1,Town,3,Y,0.0748489043,0.9251510957
LP002027,Male,Married,0,Graduate,No,4334,2945,165,360,1,Town,3,Y,0.1041817921,0.8958182079
LP002028,Male,Married,2,Graduate,No,4358,0,110,360,1,City,3,Y,0.1245632543,0.8754367457
LP002042,Female,Married,1,Graduate,No,4000,3917,173,360,1,Village,3,Y,0.3257176613,0.6742823387
LP002045,Male,Married,3,Graduate,No,10166,750,150,360,1,City,4,Y,0.1758127097,0.8241872903
LP002046,Male,Married,0,Under Graduate,No,4483,0,135,360,1,Town,3,Y,0.1225621484,0.8774378516
LP002047,Male,Married,2,Under Graduate,No,4521,1184,150,360,1,Town,3,Y,0.0985612339,0.9014387661
LP002056,Male,Married,2,Graduate,No,9167,0,235,360,1,Town,4,Y,0.0687549775,0.9312450225
LP002057,Male,Married,0,Under Graduate,No,13083,0,125,360,1,Village,4,Y,0.2626313814,0.7373686186
LP002059,Male,Married,2,Graduate,No,7874,3967,336,360,1,Village,4,Y,0.2278714179,0.7721285821
LP002062,Female,Married,1,Graduate,No,4333,0,132,84,1,Village,3,Y,0.3504341855,0.6495658145
LP002064,Male,Not Married,0,Graduate,No,4083,0,96,360,1,City,3,Y,0.2425482461,0.7574517539
LP002069,Male,Married,2,Under Graduate,No,3785,2912,180,360,0,Village,2,N,0.9485758563,0.0514241437
LP002070,Male,Married,3,Under Graduate,No,2654,1998,128,360,0,Village,1,N,0.9581088741,0.0418911259
LP002077,Male,Married,1,Graduate,No,10000,2690,412,360,1,Town,4,Y,0.1898497985,0.8101502015
LP002083,Male,Not Married,0,Graduate,Yes,5833,0,116,360,1,City,4,Y,0.2602018485,0.7397981515
LP002090,Male,Married,1,Graduate,No,4796,0,114,360,0,Town,3,N,0.87972227,0.12027773
LP002096,Male,Married,0,Under Graduate,No,2000,1600,115,360,1,Village,1,Y,0.2918605506,0.7081394494
LP002099,Male,Married,2,Graduate,No,2540,700,104,360,0,City,1,N,0.8885412864,0.1114587136
LP002102,Male,Married,0,Graduate,Yes,1900,1442,88,360,1,Village,1,Y,0.2203870441,0.7796129559
LP002105,Male,Married,0,Graduate,Yes,8706,0,108,480,1,Village,4,N,0.5049787395,0.4950212605
LP002107,Male,Married,3,Under Graduate,No,2855,542,90,360,1,City,1,Y,0.2330391892,0.7669608108
LP002111,Male,Married,0,Graduate,No,3016,1300,100,360,1,City,2,Y,0.1770639229,0.8229360771
LP002117,Female,Married,0,Graduate,No,3159,2374,108,360,1,Town,2,Y,0.0896604537,0.9103395463
LP002118,Female,Not Married,0,Graduate,No,1937,1152,78,360,1,Town,1,Y,0.1258793266,0.8741206734
LP002123,Male,Married,0,Graduate,No,2613,2417,123,360,1,Town,1,Y,0.0969457415,0.9030542585
LP002125,Male,Married,1,Graduate,No,4960,2600,187,360,1,Town,3,Y,0.1504026948,0.8495973052
LP002148,Male,Married,1,Graduate,No,3074,1083,146,360,1,Town,2,Y,0.1334357008,0.8665642992
LP002152,Female,Not Married,0,Graduate,No,4213,0,80,360,1,City,3,Y,0.227700954,0.772299046
LP002165,Male,Not Married,1,Under Graduate,No,2038,4027,100,360,1,Village,1,N,0.5374106928,0.4625893072
LP002167,Female,Not Married,0,Graduate,No,2362,0,55,360,1,City,1,Y,0.2235786623,0.7764213377
LP002168,Male,Not Married,0,Graduate,No,5333,2400,200,360,0,Village,4,N,0.9651755347,0.0348244653
LP002172,Male,Married,3,Graduate,Yes,5384,0,150,360,1,Town,4,Y,0.0921589165,0.9078410835
LP002176,Male,Not Married,0,Graduate,No,5708,0,150,360,1,Village,4,Y,0.2937496845,0.7062503155
LP002183,Male,Married,0,Under Graduate,No,3754,3719,118,360,1,Village,2,Y,0.3187234267,0.6812765733
LP002184,Male,Married,0,Under Graduate,No,2914,2130,150,300,1,City,2,Y,0.2913445798,0.7086554202
LP002186,Male,Married,0,Under Graduate,No,2747,2458,118,36,1,Town,1,N,0.9999951743,4.8257465E-6
LP002192,Male,Married,0,Graduate,No,7830,2183,212,360,1,Village,4,Y,0.2388294336,0.7611705664
LP002195,Male,Married,1,Graduate,Yes,3507,3148,212,360,1,Village,2,Y,0.3580687063,0.6419312937
LP002208,Male,Married,1,Graduate,No,3747,2139,125,360,1,City,2,Y,0.2613576376,0.7386423624
LP002212,Male,Married,0,Graduate,No,2166,2166,108,360,1,City,1,Y,0.1873900362,0.8126099638
LP002240,Male,Married,0,Under Graduate,No,3500,2168,149,360,1,Village,2,Y,0.3071691851,0.6928308149
LP002245,Male,Married,2,Under Graduate,No,2896,0,80,480,1,City,2,Y,0.452301204,0.547698796
LP002253,Female,Not Married,1,Graduate,No,5062,0,152,300,1,Village,4,Y,0.4023236704,0.5976763296
LP002256,Female,Not Married,2,Graduate,Yes,5184,0,187,360,0,Town,4,N,0.8626266491,0.1373733509
LP002257,Female,Not Married,0,Graduate,No,2545,0,74,360,1,City,1,Y,0.2278629823,0.7721370177
LP002264,Male,Married,0,Graduate,No,2553,1768,102,360,1,City,1,Y,0.1821258373,0.8178741627
LP002270,Male,Married,1,Graduate,No,3436,3809,100,360,1,Village,2,Y,0.3167212809,0.6832787191
LP002279,Male,Not Married,0,Graduate,No,2412,2755,130,360,1,Village,1,Y,0.3285913692,0.6714086308
LP002286,Male,Married,3,Under Graduate,No,5180,0,125,360,0,City,4,N,0.9421274764,0.0578725236
LP002294,Male,Not Married,0,Graduate,No,14911,14507,130,360,1,Town,4,Y,0.2602351302,0.7397648698
LP002298,Male,Not Married,0,Graduate,Yes,2860,2988,138,360,1,City,2,Y,0.3072337644,0.6927662356
LP002306,Male,Married,0,Graduate,No,1173,1594,28,180,1,Village,1,Y,0.140206496,0.859793504
LP002310,Female,Not Married,1,Graduate,No,7600,0,92,360,1,Town,4,Y,0.1671592374,0.8328407626
LP002311,Female,Married,0,Graduate,No,2157,1788,104,360,1,City,1,Y,0.1741701169,0.8258298831
LP002316,Male,Not Married,0,Graduate,No,2231,2774,176,360,0,City,1,N,0.9581936093,0.0418063907
LP002321,Female,Not Married,0,Graduate,No,2274,5211,117,360,0,Town,1,N,0.9126309772,0.0873690228
LP002325,Male,Married,2,Under Graduate,No,6166,13983,102,360,1,Village,4,Y,0.3792429893,0.6207570107
LP002326,Male,Married,2,Under Graduate,No,2513,1110,107,360,1,Town,1,Y,0.0940775694,0.9059224306
LP002329,Male,Not Married,0,Graduate,No,4333,0,66,480,1,City,3,N,0.5504902793,0.4495097207
LP002333,Male,Not Married,0,Under Graduate,No,3844,0,105,360,1,City,3,Y,0.3279472489,0.6720527511
LP002339,Male,Married,0,Graduate,No,3887,1517,105,360,0,Town,3,N,0.8404658108,0.1595341892
LP002344,Male,Married,0,Graduate,No,3510,828,105,360,1,Town,2,Y,0.0862981703,0.9137018297
LP002346,Male,Married,0,Graduate,No,2539,1704,125,360,0,Village,1,N,0.937214583,0.062785417
LP002354,Female,Not Married,0,Under Graduate,No,2107,0,64,360,1,Town,1,Y,0.1649953383,0.8350046617
LP002355,Male,Married,0,Graduate,No,3186,3145,150,180,0,Town,2,N,0.8054573862,0.1945426138
LP002358,Male,Married,2,Graduate,Yes,5000,2166,150,360,1,City,3,Y,0.1560117871,0.8439882129
LP002360,Male,Married,0,Graduate,No,10000,0,125,360,1,City,4,Y,0.1650049572,0.8349950428
LP002375,Male,Married,0,Under Graduate,Yes,3943,0,64,360,1,Town,3,Y,0.1208553042,0.8791446958
LP002376,Male,Not Married,0,Graduate,No,2925,0,40,180,1,Village,2,Y,0.1952089577,0.8047910423
LP002383,Male,Married,3,Graduate,No,3242,437,142,480,0,City,2,N,0.978657776,0.021342224
LP002385,Male,Married,0,Graduate,No,3863,0,70,300,1,Town,3,Y,0.0878632209,0.9121367791
