term,grade,sub_grade,home_ownership,verification_status,loan_status,earliest_cr_line,new_delinq_2yrs,new_inq_last_6mths,new_pub_rec
36 months,A,A1,RENT,Not Verified,Fully Paid,SEP1992,Not Delinquent,Low,good
36 months,A,A2,RENT,Not Verified,Fully Paid,JAN2002,Not Delinquent,No Inquiries,good
36 months,B,B1,MORTGAGE,Not Verified,Charged Off,APR1992,Not Delinquent,Low,good
36 months,B,B1,RENT,Verified,Fully Paid,JUL1999,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Not Verified,Fully Paid,APR2004,Not Delinquent,No Inquiries,good
36 months,C,C5,RENT,Not Verified,Charged Off,OCT2006,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Fully Paid,MAY2000,Not Delinquent,Low,good
60 months,E,E4,RENT,Verified,Charged Off,SEP1998,Not Delinquent,Low,good
60 months,E,E4,RENT,Verified,Fully Paid,DEC1998,Not Delinquent,Low,good
36 months,B,B4,OWN,Not Verified,Fully Paid,DEC2004,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Not Verified,Fully Paid,OCT2000,Not Delinquent,Low,good
36 months,D,D2,MORTGAGE,Verified,Fully Paid,APR2007,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Source Verified,Fully Paid,MAY2002,Not Delinquent,No Inquiries,good
60 months,D,D3,RENT,Verified,Fully Paid,MAY2006,Not Delinquent,Low,good
60 months,C,C3,RENT,Source Verified,Fully Paid,JUL2002,Not Delinquent,Low,good
36 months,D,D2,RENT,Not Verified,Fully Paid,JUL2006,Not Delinquent,Low,good
60 months,B,B2,RENT,Verified,Charged Off,MAY1997,Not Delinquent,Low,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,OCT2005,Not Delinquent,Low,good
60 months,D,D3,RENT,Source Verified,Charged Off,APR1995,Not Delinquent,No Inquiries,moderate
36 months,C,C2,RENT,Source Verified,Fully Paid,OCT2002,Not Delinquent,Low,good
60 months,F,F2,RENT,Source Verified,Charged Off,JAN2000,Not Delinquent,Low,good
36 months,C,C3,OWN,Verified,Fully Paid,JUN2004,Not Delinquent,Low,good
60 months,D,D4,MORTGAGE,Verified,Fully Paid,APR2000,Not Delinquent,No Inquiries,moderate
36 months,D,D2,RENT,Not Verified,Charged Off,DEC1994,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Not Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Not Verified,Fully Paid,SEP2005,Not Delinquent,Low,good
36 months,A,A5,OWN,Source Verified,Fully Paid,DEC1994,Not Delinquent,No Inquiries,good
36 months,C,C3,RENT,Not Verified,Fully Paid,DEC1984,Not Delinquent,Low,good
36 months,C,C1,MORTGAGE,Verified,Fully Paid,DEC1999,Not Delinquent,Low,good
60 months,F,F3,RENT,Verified,Fully Paid,MAY2000,Not Delinquent,Low,moderate
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,NOV2003,Not Delinquent,Low,good
60 months,E,E4,MORTGAGE,Not Verified,Fully Paid,JUN1989,Not Delinquent,No Inquiries,good
60 months,D,D3,MORTGAGE,Verified,Fully Paid,JUN2003,Not Delinquent,Low,good
36 months,C,C2,RENT,Source Verified,Fully Paid,JUL2006,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Fully Paid,OCT1996,Not Delinquent,No Inquiries,good
36 months,A,A1,RENT,Source Verified,Fully Paid,OCT2000,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Source Verified,Fully Paid,MAY2000,Not Delinquent,Low,good
36 months,B,B4,RENT,Source Verified,Fully Paid,OCT2002,Not Delinquent,Low,good
60 months,D,D3,RENT,Verified,Fully Paid,JUL2005,Not Delinquent,Low,good
60 months,B,B2,MORTGAGE,Source Verified,Fully Paid,FEB1983,Not Delinquent,No Inquiries,good
36 months,D,D1,RENT,Verified,Fully Paid,OCT1996,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Source Verified,Fully Paid,MAY2003,Not Delinquent,Low,good
36 months,B,B2,RENT,Verified,Fully Paid,JUN2002,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,OCT2000,Not Delinquent,No Inquiries,good
60 months,E,E3,RENT,Source Verified,Fully Paid,JUN2007,Not Delinquent,Low,good
36 months,B,B5,RENT,Verified,Fully Paid,SEP1998,Delinquent,Low,good
36 months,B,B3,OWN,Not Verified,Fully Paid,DEC1996,Not Delinquent,No Inquiries,moderate
60 months,F,F4,RENT,Verified,Fully Paid,FEB1984,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Verified,Fully Paid,NOV2001,Not Delinquent,No Inquiries,good
60 months,D,D3,MORTGAGE,Not Verified,Charged Off,SEP2002,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Verified,Fully Paid,JAN1986,Not Delinquent,No Inquiries,good
60 months,B,B5,RENT,Source Verified,Fully Paid,NOV2004,Delinquent,No Inquiries,good
36 months,B,B1,RENT,Not Verified,Charged Off,MAY1998,Not Delinquent,Low,good
60 months,D,D4,RENT,Not Verified,Fully Paid,OCT1996,Not Delinquent,No Inquiries,good
36 months,A,A5,OWN,Not Verified,Fully Paid,JUL2005,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Not Verified,Fully Paid,JAN1997,Not Delinquent,No Inquiries,good
36 months,A,A5,MORTGAGE,Not Verified,Fully Paid,JUN2005,Not Delinquent,No Inquiries,good
60 months,D,D2,RENT,Verified,Charged Off,DEC2004,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Verified,Fully Paid,FEB1990,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Not Verified,Fully Paid,FEB2002,Not Delinquent,No Inquiries,good
36 months,C,C1,RENT,Not Verified,Fully Paid,MAR2004,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,JUL1995,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Verified,Fully Paid,AUG1994,Not Delinquent,No Inquiries,good
36 months,A,A2,OWN,Source Verified,Fully Paid,JUN1992,Not Delinquent,No Inquiries,good
60 months,F,F1,MORTGAGE,Verified,Fully Paid,MAY2006,Not Delinquent,No Inquiries,good
36 months,B,B5,MORTGAGE,Not Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,D,D5,RENT,Source Verified,Charged Off,MAR1997,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,APR2006,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Not Verified,Fully Paid,APR1990,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,JUN2003,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Not Verified,Fully Paid,JAN2000,Not Delinquent,Low,good
60 months,C,C1,MORTGAGE,Verified,Charged Off,AUG1999,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Verified,Charged Off,SEP2000,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Source Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Verified,Fully Paid,FEB2001,Not Delinquent,No Inquiries,good
60 months,E,E4,RENT,Verified,Charged Off,DEC1988,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Source Verified,Fully Paid,FEB1999,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Source Verified,Fully Paid,NOV2004,Not Delinquent,Low,good
60 months,E,E5,RENT,Verified,Fully Paid,DEC1991,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Verified,Fully Paid,AUG2000,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Not Verified,Fully Paid,OCT2004,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Fully Paid,AUG2004,Not Delinquent,Low,good
36 months,C,C5,MORTGAGE,Source Verified,Charged Off,JUN1995,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Not Verified,Fully Paid,FEB2005,Not Delinquent,Low,good
36 months,C,C3,RENT,Source Verified,Fully Paid,NOV2005,Not Delinquent,Low,good
36 months,A,A2,RENT,Source Verified,Fully Paid,SEP1998,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Source Verified,Fully Paid,NOV2000,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Fully Paid,MAY2007,Delinquent,No Inquiries,good
36 months,A,A2,RENT,Verified,Charged Off,JAN1991,Not Delinquent,Low,good
60 months,B,B5,MORTGAGE,Source Verified,Fully Paid,APR2000,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,JUN2000,Not Delinquent,No Inquiries,good
36 months,E,E1,RENT,Not Verified,Fully Paid,AUG2006,Not Delinquent,Low,good
36 months,B,B3,RENT,Not Verified,Fully Paid,DEC2002,Not Delinquent,No Inquiries,good
36 months,C,C2,RENT,Not Verified,Fully Paid,FEB2005,Not Delinquent,Low,good
36 months,A,A3,MORTGAGE,Not Verified,Fully Paid,JUN1993,Not Delinquent,Low,good
36 months,B,B1,RENT,Verified,Fully Paid,MAY1997,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Charged Off,JUN2006,Not Delinquent,Low,good
60 months,E,E4,RENT,Verified,Fully Paid,FEB2004,Not Delinquent,No Inquiries,good
60 months,E,E3,MORTGAGE,Source Verified,Fully Paid,DEC1990,Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,MAR2000,Delinquent,No Inquiries,good
60 months,D,D2,OWN,Verified,Fully Paid,MAR2004,Not Delinquent,Low,good
60 months,C,C1,RENT,Not Verified,Fully Paid,FEB1995,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Not Verified,Charged Off,JUL2001,Not Delinquent,No Inquiries,good
36 months,D,D1,MORTGAGE,Verified,Fully Paid,APR2002,Not Delinquent,No Inquiries,good
60 months,C,C1,RENT,Verified,Charged Off,DEC2001,Not Delinquent,Low,good
36 months,B,B4,RENT,Not Verified,Fully Paid,SEP2006,Not Delinquent,Low,good
36 months,C,C3,MORTGAGE,Not Verified,Charged Off,MAY1999,Delinquent,Low,good
36 months,C,C2,RENT,Verified,Fully Paid,AUG1998,Not Delinquent,Low,good
36 months,A,A1,RENT,Not Verified,Fully Paid,OCT2005,Not Delinquent,No Inquiries,good
36 months,B,B1,RENT,Source Verified,Fully Paid,DEC2005,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Not Verified,Fully Paid,MAY2004,Not Delinquent,No Inquiries,good
60 months,C,C4,RENT,Source Verified,Fully Paid,OCT2001,Not Delinquent,Low,good
36 months,D,D3,MORTGAGE,Source Verified,Fully Paid,JUN1983,Delinquent,No Inquiries,moderate
36 months,B,B1,OWN,Not Verified,Fully Paid,FEB1995,Not Delinquent,Low,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,AUG1994,Not Delinquent,No Inquiries,good
36 months,C,C3,RENT,Not Verified,Fully Paid,SEP2006,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Verified,Fully Paid,SEP1998,Not Delinquent,High,good
36 months,C,C2,MORTGAGE,Verified,Fully Paid,MAR1986,Not Delinquent,Low,good
60 months,B,B1,OWN,Verified,Fully Paid,JUN1993,Not Delinquent,Low,good
36 months,A,A3,OWN,Source Verified,Charged Off,AUG1994,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Source Verified,Fully Paid,APR1980,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Fully Paid,JUL2004,Delinquent,No Inquiries,good
36 months,C,C1,RENT,Verified,Fully Paid,OCT2004,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,JUL2008,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Not Verified,Fully Paid,MAY1996,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Fully Paid,JAN2004,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Charged Off,DEC1999,Delinquent,Low,good
36 months,D,D3,RENT,Not Verified,Charged Off,SEP2004,Not Delinquent,Low,good
60 months,F,F1,RENT,Source Verified,Charged Off,NOV2002,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Fully Paid,AUG2002,Not Delinquent,No Inquiries,good
60 months,B,B3,RENT,Not Verified,Charged Off,DEC1990,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Source Verified,Fully Paid,SEP2006,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Not Verified,Fully Paid,MAY1999,Not Delinquent,No Inquiries,good
36 months,D,D2,RENT,Verified,Charged Off,AUG2001,Not Delinquent,Low,good
36 months,D,D3,RENT,Source Verified,Charged Off,MAR1991,Not Delinquent,No Inquiries,good
60 months,C,C1,MORTGAGE,Verified,Fully Paid,NOV1997,Not Delinquent,No Inquiries,good
36 months,B,B2,MORTGAGE,Verified,Fully Paid,DEC2002,Delinquent,Low,good
36 months,B,B2,MORTGAGE,Source Verified,Fully Paid,SEP1998,Not Delinquent,No Inquiries,good
60 months,C,C4,MORTGAGE,Verified,Fully Paid,SEP1989,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Charged Off,SEP1994,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Source Verified,Fully Paid,DEC1998,Not Delinquent,Low,good
36 months,B,B5,RENT,Verified,Fully Paid,MAY1996,Not Delinquent,No Inquiries,good
36 months,B,B2,RENT,Not Verified,Fully Paid,JUN2002,Not Delinquent,Low,good
60 months,D,D2,RENT,Not Verified,Fully Paid,SEP2003,Not Delinquent,No Inquiries,good
60 months,D,D4,MORTGAGE,Verified,Fully Paid,JUL2006,Not Delinquent,Low,good
36 months,A,A2,RENT,Source Verified,Fully Paid,SEP1999,Not Delinquent,Low,good
36 months,C,C2,MORTGAGE,Not Verified,Charged Off,AUG2005,Not Delinquent,Low,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,DEC1986,Not Delinquent,Low,good
36 months,B,B5,RENT,Source Verified,Fully Paid,DEC2001,Not Delinquent,Low,good
36 months,B,B2,RENT,Not Verified,Fully Paid,OCT2002,Not Delinquent,Low,good
36 months,C,C1,RENT,Verified,Fully Paid,NOV1998,Not Delinquent,Low,good
36 months,C,C3,RENT,Verified,Fully Paid,NOV2003,Not Delinquent,Low,good
36 months,B,B2,MORTGAGE,Not Verified,Fully Paid,FEB2006,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Not Verified,Fully Paid,AUG1998,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Charged Off,MAY1994,Not Delinquent,Low,good
36 months,D,D1,RENT,Source Verified,Charged Off,NOV2007,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Fully Paid,JUN2003,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Not Verified,Fully Paid,NOV2004,Not Delinquent,Low,good
36 months,C,C4,MORTGAGE,Verified,Fully Paid,AUG2004,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,JUN2002,Not Delinquent,Low,good
60 months,E,E5,MORTGAGE,Source Verified,Fully Paid,DEC1990,Not Delinquent,No Inquiries,good
36 months,C,C4,RENT,Verified,Fully Paid,JUN2004,Not Delinquent,Low,good
36 months,C,C1,MORTGAGE,Source Verified,Fully Paid,FEB1993,Not Delinquent,Low,good
36 months,C,C2,RENT,Verified,Charged Off,AUG2000,Not Delinquent,Low,good
36 months,C,C4,RENT,Verified,Fully Paid,JUN2005,Not Delinquent,Low,good
36 months,A,A2,RENT,Source Verified,Fully Paid,OCT2000,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,NOV1991,Not Delinquent,Low,good
36 months,C,C2,MORTGAGE,Source Verified,Fully Paid,MAY2005,Not Delinquent,Low,good
60 months,D,D3,MORTGAGE,Verified,Fully Paid,DEC1973,Not Delinquent,No Inquiries,good
60 months,D,D3,RENT,Source Verified,Fully Paid,MAY2001,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Not Verified,Fully Paid,AUG2001,Not Delinquent,Low,good
36 months,B,B5,MORTGAGE,Source Verified,Charged Off,JUL1999,Not Delinquent,Low,good
36 months,C,C1,OWN,Source Verified,Fully Paid,MAR1990,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Not Verified,Fully Paid,MAR1996,Not Delinquent,Low,good
60 months,G,G4,MORTGAGE,Verified,Fully Paid,APR2000,Not Delinquent,Low,good
36 months,A,A4,RENT,Source Verified,Charged Off,JAN2002,Not Delinquent,No Inquiries,good
60 months,D,D2,MORTGAGE,Verified,Charged Off,SEP1998,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Verified,Charged Off,OCT1979,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Source Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,D,D3,MORTGAGE,Verified,Fully Paid,DEC1996,Delinquent,No Inquiries,good
36 months,B,B4,RENT,Verified,Fully Paid,SEP2006,Not Delinquent,No Inquiries,good
36 months,B,B3,MORTGAGE,Verified,Fully Paid,SEP2005,Not Delinquent,No Inquiries,good
36 months,B,B5,RENT,Not Verified,Charged Off,OCT2000,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Not Verified,Fully Paid,JUN1981,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,DEC2002,Not Delinquent,Low,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,JAN1997,Delinquent,No Inquiries,good
36 months,A,A2,MORTGAGE,Not Verified,Fully Paid,MAY2000,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Source Verified,Fully Paid,MAR2001,Not Delinquent,Low,good
60 months,F,F3,RENT,Verified,Fully Paid,APR2001,Not Delinquent,Low,good
36 months,C,C3,RENT,Verified,Fully Paid,JUN1999,Not Delinquent,Low,good
60 months,B,B5,RENT,Source Verified,Charged Off,JUN2003,Not Delinquent,Low,good
36 months,B,B4,RENT,Verified,Fully Paid,OCT2002,Not Delinquent,No Inquiries,good
36 months,B,B4,MORTGAGE,Not Verified,Fully Paid,NOV1993,Not Delinquent,No Inquiries,good
60 months,D,D4,MORTGAGE,Verified,Fully Paid,JAN2000,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Not Verified,Fully Paid,MAY2003,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Fully Paid,OCT2000,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Not Verified,Fully Paid,FEB2005,Not Delinquent,No Inquiries,good
36 months,A,A4,RENT,Not Verified,Fully Paid,JAN2006,Not Delinquent,Low,good
36 months,B,B1,RENT,Verified,Fully Paid,DEC1997,Not Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Fully Paid,NOV1994,Not Delinquent,Low,good
60 months,D,D3,RENT,Source Verified,Fully Paid,NOV2006,Not Delinquent,Low,good
36 months,E,E2,MORTGAGE,Not Verified,Fully Paid,JUL1997,Delinquent,Low,good
36 months,B,B5,RENT,Not Verified,Charged Off,FEB2005,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Source Verified,Fully Paid,NOV1981,Not Delinquent,No Inquiries,good
36 months,A,A4,OWN,Source Verified,Fully Paid,OCT1991,Not Delinquent,No Inquiries,moderate
36 months,B,B3,RENT,Verified,Fully Paid,MAY1998,Not Delinquent,Low,good
36 months,B,B4,RENT,Source Verified,Charged Off,AUG1998,Not Delinquent,Low,good
36 months,A,A3,RENT,Not Verified,Fully Paid,JUN1994,Not Delinquent,Low,good
60 months,B,B3,MORTGAGE,Not Verified,Fully Paid,NOV2006,Not Delinquent,No Inquiries,good
60 months,B,B3,OWN,Source Verified,Fully Paid,MAR2006,Not Delinquent,Low,good
36 months,A,A5,MORTGAGE,Verified,Fully Paid,SEP1996,Not Delinquent,No Inquiries,good
36 months,B,B4,OWN,Verified,Fully Paid,APR1991,Not Delinquent,Low,good
60 months,C,C1,MORTGAGE,Source Verified,Fully Paid,NOV2002,Not Delinquent,Low,good
36 months,C,C1,RENT,Not Verified,Fully Paid,AUG1999,Not Delinquent,No Inquiries,good
36 months,C,C1,MORTGAGE,Not Verified,Fully Paid,SEP1998,Delinquent,Low,good
36 months,A,A4,MORTGAGE,Not Verified,Fully Paid,JUL1993,Not Delinquent,High,good
36 months,B,B5,RENT,Not Verified,Fully Paid,NOV1998,Not Delinquent,Low,good
36 months,A,A5,RENT,Not Verified,Charged Off,OCT2003,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,JAN2001,Not Delinquent,No Inquiries,good
60 months,E,E1,MORTGAGE,Verified,Fully Paid,JAN1995,Not Delinquent,Low,good
36 months,A,A4,RENT,Not Verified,Fully Paid,JUN2003,Not Delinquent,Low,good
60 months,C,C1,RENT,Verified,Charged Off,JUL2002,Not Delinquent,Low,good
36 months,B,B1,RENT,Not Verified,Fully Paid,DEC1999,Not Delinquent,No Inquiries,moderate
36 months,A,A4,RENT,Not Verified,Fully Paid,DEC1996,Not Delinquent,No Inquiries,good
60 months,B,B5,RENT,Source Verified,Charged Off,APR2001,Not Delinquent,No Inquiries,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,DEC1998,Not Delinquent,No Inquiries,good
36 months,A,A2,RENT,Not Verified,Fully Paid,FEB2001,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Verified,Fully Paid,JUL2001,Not Delinquent,No Inquiries,good
36 months,A,A5,RENT,Verified,Fully Paid,OCT1998,Not Delinquent,Low,good
36 months,A,A4,OWN,Not Verified,Charged Off,JUN1992,Not Delinquent,No Inquiries,good
36 months,B,B4,RENT,Not Verified,Fully Paid,MAR2004,Not Delinquent,Low,good
36 months,C,C5,RENT,Source Verified,Fully Paid,APR2000,Not Delinquent,Low,good
36 months,A,A1,MORTGAGE,Not Verified,Fully Paid,SEP1987,Not Delinquent,No Inquiries,good
36 months,A,A3,RENT,Verified,Fully Paid,MAR2006,Not Delinquent,Low,good
36 months,B,B4,MORTGAGE,Verified,Fully Paid,DEC1998,Not Delinquent,No Inquiries,good
36 months,A,A4,MORTGAGE,Verified,Fully Paid,OCT2001,Not Delinquent,No Inquiries,good
60 months,C,C4,MORTGAGE,Verified,Fully Paid,DEC1998,Not Delinquent,Low,good
36 months,C,C4,MORTGAGE,Not Verified,Fully Paid,MAR2003,Not Delinquent,Low,good
36 months,B,B3,RENT,Not Verified,Fully Paid,AUG2002,Not Delinquent,Low,good
36 months,B,B1,RENT,Source Verified,Fully Paid,OCT1999,Not Delinquent,Low,good
36 months,B,B1,MORTGAGE,Not Verified,Fully Paid,JUL2002,Not Delinquent,Low,good
36 months,A,A5,OWN,Not Verified,Fully Paid,MAY2002,Not Delinquent,No Inquiries,good
36 months,D,D3,RENT,Verified,Fully Paid,AUG1998,Not Delinquent,No Inquiries,good
36 months,B,B3,RENT,Source Verified,Fully Paid,MAR2006,Not Delinquent,Low,good
36 months,B,B1,RENT,Source Verified,Fully Paid,JUL1996,Not Delinquent,No Inquiries,good
